topic_num,topic_label,proportion,doc_id,filename,Title,Author,Article_Type,volume_num,year,month,proportion_pct
1,Pioneer Women,0.8455144283426047,1922,August_Vol18_20_Article_Mary_B_Hamilton_Hazel_H_Greenwood.txt,Mary B Hamilton Hazel H Greenwood,Hazel H. Greenwood,Article,18,1931,August,84.55
1,Pioneer Women,0.8406709589694661,4598,January_Vol9_03_Frontispiece_Presiding_Patriarchs_Frontispiece.txt,Presiding Patriarchs Frontispiece,NA,Frontispiece,9,1922,January,84.07
1,Pioneer Women,0.8396792657419915,2375,May_Vol19_No5_01_Article_Alice_Robinson_Richards_Mary_C._Kimball.txt,Alice Robinson Richards Mary C. Kimball,Mary C. Kimball,Article,19,1932,May,83.97
1,Pioneer Women,0.8386866433542864,1053,July_Vol14_05_Article_Portrait_and_Sketch_of_Anna_Margaretta_Christensen_Peay.txt,Portrait and Sketch of Anna Margaretta Christensen Peay,NA,Article,14,1927,July,83.87
1,Pioneer Women,0.8342540508727172,3774,December_Vol5_09_Mothers_in_Israel_Mothers_and_Grandmothers_and_Great-grandmothers_in_Israel.txt,in Israel Mothers and Grandmothers and Great-grandmothers in Israel,NA,Article,5,1918,December,83.43
1,Pioneer Women,0.8341745650938414,3762,August_Vol5_14_Article_Unusual_Mothers.txt,Unusual Mothers,NA,Article,5,1918,August,83.42
1,Pioneer Women,0.8321788584149492,1518,July_Vol16_14_Article_Mary_Hood_Johnstone_Ruff.txt,Mary Hood Johnstone Ruff,NA,Article,16,1929,July,83.22
1,Pioneer Women,0.8252676171555343,3552,December_Vol4_05_Article_Unusual_Mothers.txt,Unusual Mothers,NA,Article,4,1917,December,82.53
1,Pioneer Women,0.8247934204501377,1883,April_Vol18_05_Memory_Tribute_Card.txt,Tribute Card,Annie Wells Cannon,Article,18,1931,April,82.48
1,Pioneer Women,0.8243786407533221,332,April_Vol11_05_Article_Six_Generations_in_the_Church.txt,Six Generations in the Church,NA,Article,11,1924,April,82.44
1,Pioneer Women,0.81563632415177,3410,June_Vol3_02_Article_Mothers_of_Leaders_in_Israel.txt,Mothers of Leaders in Israel,NA,Article,3,1916,June,81.56
2,Relief Society and Conference Reports,0.9964318554427554,259,May_Vol10_11_Of_Interest_Of_Interest_to_Women_Lalene_H._Hart.txt,Of Interest to Women Lalene H. Hart,Lalene H. Hart,Home,10,1923,May,99.64
2,Relief Society and Conference Reports,0.9962691369158717,3856,June_Vol5_11_Article_Conservation_Pointers.txt,Conservation Pointers,NA,Article,5,1918,June,99.63
2,Relief Society and Conference Reports,0.995691296742754,3595,January_Vol4_11_Home_Science_Home_Science_Department_Janette_A._Hyde.txt,Home Science Department Janette A. Hyde,Janette A. Hyde,Home,4,1917,January,99.57
2,Relief Society and Conference Reports,0.9954013975440185,2590,October_Vol2_03b_Home_Science_In_the_Kitchen_Laboratory.txt,In the Kitchen Laboratory,NA,Home,2,1915,October,99.54
2,Relief Society and Conference Reports,0.9951089360048132,2854,November_Vol20_09_Article_Accessories_for_the_Thanksgiving_Dinner_Lucy_Rose_Middleton.txt,Accessories for the Thanksgiving Dinner Lucy Rose Middleton,Lucy Rose Middleton,Article,20,1933,November,99.51
2,Relief Society and Conference Reports,0.9944532577648593,3741,April_Vol5_15_Home_Science_Home_Science_Department_Janette_A._Hyde.txt,Home Science Department Janette A. Hyde,Janette A. Hyde,Home,5,1918,April,99.45
2,Relief Society and Conference Reports,0.9944318580365932,2836,May_Vol20_17a_Article_Health_in_the_Vegetable_Kingdom.txt,Health in the Vegetable Kingdom,Lucy Rose Middleton,Article,20,1933,May,99.44
2,Relief Society and Conference Reports,0.9933541609111829,2899,September_Vol20_04_Article_School_Lunches_Lucy_Rose_Middleton.txt,School Lunches Lucy Rose Middleton,Lucy Rose Middleton,Article,20,1933,September,99.34
2,Relief Society and Conference Reports,0.9927787834995361,195,January_Vol10_16_Of_Interest_Of_Interest_to_Women_Lalene_H._Hart.txt,Of Interest to Women Lalene H. Hart,Lalene H. Hart,Home,10,1923,January,99.28
2,Relief Society and Conference Reports,0.9918804182249253,2729,January_Vol20_15_Article_Preparing_the_Meal_of_Today_Lucy_Rose_Middleton.txt,Preparing the Meal of Today Lucy Rose Middleton,Lucy Rose Middleton,Article,20,1933,January,99.19
2,Relief Society and Conference Reports,0.9913211316488344,2658,August_Vol20_22_Article_Sunday_Evening_Porch_Suppers_Lucy_Rose_Middleton.txt,Sunday Evening Porch Suppers Lucy Rose Middleton,Lucy Rose Middleton,Article,20,1933,August,99.13
2,Relief Society and Conference Reports,0.99010320329920265,755,September_Vol12_16_Article_Of_Interest_to_Women_Lalene_H_Hart.txt,Of Interest to Women Lalene H. Hart,Lalene H. Hart,Article,12,1925,September,99.01
2,Relief Society and Conference Reports,0.9900221826293387,4649,March_Vol9_11_Article_Hotel_Utah_Food_Combinations_Louis_J._Theu.txt,Hotel Utah Food Combinations Louis J. Theu,Combinations Louis J. Theu,Article,9,1922,March,99
2,Relief Society and Conference Reports,0.9898958234193027,2582,November_Vol2_09_Article_In_the_Kitchen_Laboratory_Hazel_Love_Dunford.txt,In the Kitchen Laboratory Hazel Love Dunford,NA,Article,2,1915,November,98.99
2,Relief Society and Conference Reports,0.9893559846250488,738,October_Vol12_13_Article_Of_Interest_to_Women_Lalene_H_Hart.txt,Of Interest to Women Lalene H. Hart,Lalene H. Hart,Article,12,1925,October,98.94
2,Relief Society and Conference Reports,0.9858843629224538,3121,June_Vol21_23_Article_Canapeg_for_the_Dinner.txt,Canapeg for the Dinner,NA,Article,21,1934,June,98.59
2,Relief Society and Conference Reports,0.9854158316042517,960,September_Vol13_07_Article_Of_Interest_to_Women_Lalene_H_Hart.txt,Of Interest to Women Lalene H. Hart,NA,Article,13,1926,September,98.54
2,Relief Society and Conference Reports,0.984948305172326,2527,"June_Vol2_06_Article_In_the_Kitchen_Laboratory,.txt","In the Kitchen Laboratory,",NA,Article,2,1915,June,98.49
2,Relief Society and Conference Reports,0.9844026018474438,3151,March_Vol21_21_Article_Avoiding_Middleton.txt,Avoiding Middleton,Lucy Rose Middleton,Article,21,1934,March,98.44
2,Relief Society and Conference Reports,0.981549580426276,556,April_Vol12_09_Article_Of_Interest_to_Women_Lalene_H_Hart.txt,Of Interest to Women Lalene H. Hart,Lalene H. Hart,Article,12,1925,April,98.15
2,Relief Society and Conference Reports,0.9805892035484808,3622,July_Vol4_16b_Guide_Lessons_Guide_Lessons_b.txt,Guide Lessons,NA,Guide,4,1917,July,98.06
2,Relief Society and Conference Reports,0.9693090100582467,719,November_Vol12_12_Article_Of_Interest_to_Women_Lalene_H_Hart.txt,Of Interest to Women Lalene H. Hart,Lalene H. Hart,Article,12,1925,November,96.93
2,Relief Society and Conference Reports,0.9675398454716424,282,November_Vol10_16_Of_Interest_Of_Interest_to_Women_Lalene_H._Hart.txt,Of Interest to Women Lalene H. Hart,Lalene H. Hart,Home,10,1923,November,96.75
2,Relief Society and Conference Reports,0.9671118753709722,4064,June_Vol6_16_Construction_and_Reconstruction_in_the_Home.txt,and Reconstruction in the Home,NA,Article,6,1919,June,96.71
2,Relief Society and Conference Reports,0.9623496040547184,4043,July_Vol6_10_Thrift_Hints.txt,Hints,NA,Article,6,1919,July,96.23
3,National & International Affairs,0.9949142860984952,4103,May_Vol6_12c_Current_Topics_On_the_Watch_Tower.txt,Topics On the Watch Tower,NA,Current Topics,6,1919,May,99.49
3,National & International Affairs,0.9916683205490493,3778,December_Vol5_11c_Current_Topics_Current_Topics.txt,Topics Current Topics,James H. Anderson,Current Topics,5,1918,December,99.17
3,National & International Affairs,0.9904988407278583,3916,November_Vol5_09_Current_Topics_Current_Topics_James_H._Anderson.txt,Topics Current Topics James H. Anderson,James H. Anderson,Current Topics,5,1918,November,99.05
3,National & International Affairs,0.9836962191152259,3561,November_Vol4_07_Current_Topics_Current_Topics_James_H._Anderson.txt,Topics Current Topics James H. Anderson,James H. Anderson,Current Topics,4,1917,November,98.37
3,National & International Affairs,0.9835220821752864,3964,April_Vol6_08b_Current_Topics_On_the_Watch_Tower.txt,Topics On the Watch Tower,NA,Current Topics,6,1919,April,98.35
3,National & International Affairs,0.9795346663444978,4134,October_Vol6_04g_Current_Topics_On_the_Watch_Tower.txt,Topics On the Watch Tower,NA,Current Topics,6,1919,October,97.95
3,National & International Affairs,0.978699508134069,3636,June_Vol4_11_Current_Topics_Current_Topics_James_H._Anderson.txt,Topics Current Topics James H. Anderson,James H. Anderson,Current Topics,4,1917,June,97.87
3,National & International Affairs,0.9740843739957648,3806,"February_Vol5_15_Editorial_Editorial_O_War,_Where_is_Our_Fear_of_Thee.txt","Editorial O War, Where is Our Fear of Thee",NA,Editorial,5,1918,February,97.41
3,National & International Affairs,0.9708119064637581,4028,January_Vol6_18_On_the_Watch_Tower.txt,the Watch Tower,James H. Anderson,Article,6,1919,January,97.08
3,National & International Affairs,0.9685880508017645,3585,February_Vol4_18_Current_Topics_Current_Topics_James_H_Anderson.txt,Topics Current Topics James H Anderson,James H. Anderson,Current Topics,4,1917,February,96.86
3,National & International Affairs,0.9629097278783093,3719,September_Vol4_09_Current_Topics_Current_Topics_James_H._Anderson.txt,Topics Current Topics James H. Anderson,James H. Anderson,Current Topics,4,1917,September,96.29
3,National & International Affairs,0.9559002613544876,3803,February_Vol5_12_Current_Topics_Current_Topics_James_H._Anderson.txt,Topics Current Topics James H. Anderson,James H. Anderson,Current Topics,5,1918,February,95.59
3,National & International Affairs,0.9542573270374423,3539,August_Vol4_14_Current_Topics_Current_Topics_James_H._Anderson.txt,Topics Current Topics James H. Anderson,James H. Anderson,Current Topics,4,1917,August,95.43
3,National & International Affairs,0.9519821935746811,3829,January_Vol5_15a_Current_Topics_Current_Topics.txt,Topics Current Topics,James H. Anderson,Current Topics,5,1918,January,95.2
3,National & International Affairs,0.9505970051072177,4148,October_Vol6_18_On_the_Watch_Tower.txt,the Watch Tower,NA,Article,6,1919,October,95.06
3,National & International Affairs,0.9499960333317934,4105,May_Vol6_14_On_the_Watch_Tower_James_H._Anderson.txt,the Watch Tower James H. Anderson,NA,Article,6,1919,May,95
3,National & International Affairs,0.9491897372689115,3931,October_Vol5_11_Current_Topics_Current_Topics_James_H._Anderson.txt,Topics Current Topics James H. Anderson,James H. Anderson,Current Topics,5,1918,October,94.92
3,National & International Affairs,0.9462505534787632,3703,October_Vol4_08_Current_Topics_Current_Events_James_H._Anderson.txt,Topics Current Events James H. Anderson,James H. Anderson,Current Topics,4,1917,October,94.63
3,National & International Affairs,0.9438842831175498,4262,June_Vol7_04_Article_On_the_Watch_Tower_James_H._Anderson.txt,On the Watch Tower James H. Anderson,James H. Anderson,Article,7,1920,June,94.39
3,National & International Affairs,0.9432507159074626,4004,February_Vol6_16_On_the_Watch_Tower_James_H._Anderson.txt,the Watch Tower James H. Anderson,NA,Article,6,1919,February,94.33
3,National & International Affairs,0.9429881017304029,4123,November_Vol6_10a_Current_Topics_On_the_Watch_Tower.txt,Topics On the Watch Tower,NA,Current Topics,6,1919,November,94.3
3,National & International Affairs,0.9401639057213851,2432,April_Vol2_05_Current_Topics_Current_Topics_James_H._Anderson.txt,Topics Current Topics James H. Anderson,NA,Current Topics,2,1915,April,94.02
3,National & International Affairs,0.9392512093482263,3648,March_Vol4_11_Article_Admiral_George_Dewey_and_Homer_Davenport_Alice_Louise_Reynol.txt,Admiral George Dewey and Homer Davenport Alice Louise Reynol,Alice Louise Reynolds,Article,4,1917,March,93.93
3,National & International Affairs,0.936907330655218,3398,July_Vol3_11_Current_Topics_Current_Topics_James_H._Anderson.txt,Topics Current Topics James H. Anderson,NA,Current Topics,3,1916,July,93.69
3,National & International Affairs,0.93507273318813,3738,April_Vol5_12_Current_Topics_Current_Topics_James_H._Anderson.txt,Topics Current Topics James H. Anderson,James H. Anderson,Current Topics,5,1918,April,93.51
4,International Women's Councils,0.9420594983396852,4733,September_Vol9_13_Article_The_International_Council_of_Women_to_Meet_in_U._S.txt,The International Council of Women to Meet in U. S.,U. S.,Article,9,1922,September,94.21
4,International Women's Councils,0.9368119183047385,4212,December_Vol7_02_Article_Utah_Descendants_of_Mayflower.txt,Utah Descendants of Mayflower,NA,Article,7,1920,December,93.68
4,International Women's Councils,0.8753438661005204,689,May_Vol12_02_Article_National_Council_of_Women_Quinquennial_Campaign.txt,National Council of Women Quinquennial Campaign,NA,Article,12,1925,May,87.53
4,International Women's Councils,0.8392470217122067,2971,August_Vol21_20_Article_The_International.txt,The International,NA,Article,21,1934,August,83.92
4,International Women's Councils,0.8035548233477263,1546,March_Vol16_06_Article_Women_in_the_Congress_of_the_United_States.txt,Women in the Congress of the United States,NA,Article,16,1929,March,80.36
4,International Women's Councils,0.800118787599853,4196,August_Vol7_01_Article_Eulogy_to_Emmeline_B._Wells_O._F._Ursenbach.txt,Eulogy to Emmeline B. Wells O. F. Ursenbach,Wells O. F. Ursenbach,Article,7,1920,August,80.01
4,International Women's Councils,0.765579870978802,3387,January_Vol3_18d_Genealogy_International_Congress_of_Genealogy.txt,International Congress of Genealogy,NA,Genealogy,3,1916,January,76.56
4,International Women's Councils,0.7462522727380644,2025,June_Vol18_03_Article_Phillip_North_Moore_Cannon.txt,Phillip North Moore Cannon,Annie Wells Cannon,Article,18,1931,June,74.63
4,International Women's Councils,0.7362402086463941,2461,August_Vol2_13d_Article_International_Genealogical_Congress_Trip_Report.txt,International Genealogical Congress Trip Report,NA,Article,2,1915,August,73.62
4,International Women's Councils,0.7362343992415794,589,December_Vol12_11_Article_Dr_Valeria_Parker_Amy_Brown_Lyman.txt,Dr. Valeria Parker Amy Brown Lyman,NA,Article,12,1925,December,73.62
4,International Women's Councils,0.7303538226691251,2603,September_Vol2_01a_Article_International_Genealogical_Congress_at_the_Panama-Pacific_Ex.txt,International Genealogical Congress at the Panama-Pacific Ex,Susa Young Gates,Article,2,1915,September,73.04
4,International Women's Councils,0.7176858642202077,3436,March_Vol3_11_Article_Our_Delegates_in_Washington.txt,Our Delegates in Washington,NA,Article,3,1916,March,71.77
4,International Women's Councils,0.7138438301663609,3449,"May_Vol3_08_Article_Goodby,_California_Congress,_Goodby.txt","Goodby, California Congress, Goodby",NA,Article,3,1916,May,71.38
4,International Women's Councils,0.7127594079423577,2597,October_Vol2_09b_Genealogy_Genealogy_-_Sources_of_Information.txt,Genealogy - Sources of Information,NA,Genealogy,2,1915,October,71.28
4,International Women's Councils,0.7089948076650904,186,January_Vol10_07_Article_National_Council_of_Women.txt,National Council of Women,NA,Article,10,1923,January,70.9
4,International Women's Councils,0.692371771948827,3077,July_Vol21_08_Article_Quinquennials_Cannon.txt,Quinquennials Cannon,Annie Wells Cannon,Article,21,1934,July,69.24
4,International Women's Councils,0.6860655005551423,385,February_Vol11_11_Article_Eight_Women_Elected_to_British_Parliament.txt,Eight Women Elected to British Parliament,NA,Article,11,1924,February,68.61
4,International Women's Councils,0.684558210397083,3030,February_Vol21_16_Article_1933_a_Record_Year_for.txt,1933 a Record Year for,NA,Article,21,1934,February,68.46
4,International Women's Councils,0.6720782120923767,3318,April_Vol3_15b_Guide_Lessons_LESSON_II_Work_and_Business_Second_Week_in_May.txt,LESSON II Work and Business Second Week in May,NA,Guide,3,1916,April,67.21
4,International Women's Councils,0.6672258749488701,3094,July_Vol21_25_Article_President_Quinquennial.txt,President Quinquennial,NA,Article,21,1934,July,66.72
4,International Women's Councils,0.6586896416611326,1811,May_Vol17_05d_Editorial_Editorial_-_Ten_Years_of_Suffrage.txt,Editorial - Ten Years of Suffrage,NA,Editorial,17,1930,May,65.87
4,International Women's Councils,0.6537881352980834,318,September_Vol10_06b_Current_Topics_Items_About_Women.txt,Topics Items About Women,NA,Current Topics,10,1923,September,65.38
4,International Women's Councils,0.6533140084596469,92,V1_1914_Nov_02_Gen_Genealogy_and_Testimony.txt,Genealogy and Testimony,NA,Genealogy,1,1914,November,65.33
4,International Women's Councils,0.6473313482596968,3402,July_Vol3_15_Genealogy_Genealogical_Notes.txt,Genealogical Notes,NA,Genealogy,3,1916,July,64.73
4,International Women's Councils,0.6355710657008752,4412,January_Vol8_06_Article_The_International_Council_of_Women.txt,The International Council of Women,NA,Article,8,1921,January,63.56
5,Pioneer Heritage,0.9925659546344164,866,July_Vol13_15_Notes_from_Field_Notes_From_the_Field_Amy_Brown_Lyman.txt,from Field Notes From the Field Amy Brown Lyman,NA,Notes from Field,13,1926,July,99.26
5,Pioneer Heritage,0.9854958400883498,211,July_Vol10_08d_Notes_from_Field_Notes_from_the_Field_a_a_a_a_a.txt,from Field Notes from the Field a a a a a,Amy Brown Lyman,Notes from Field,10,1923,July,98.55
5,Pioneer Heritage,0.9814144918158295,1096,March_Vol14_18a_Notes_from_Field_Notes_from_the_Field.txt,from Field Notes from the Field,Amy Brown Lyman,Notes from Field,14,1927,March,98.14
5,Pioneer Heritage,0.9802475521830588,2261,January_Vol19_19_Notes_from_Field_Notes_from_the_Field.txt,from Field Notes from the Field,NA,Notes from Field,19,1932,January,98.02
5,Pioneer Heritage,0.9768856350931346,302,October_Vol10_13_Notes_from_Field_Notes_from_the_Field_Amy_Brown_Lyman.txt,from Field Notes from the Field Amy Brown Lyman,Amy Brown Lyman,Notes from Field,10,1923,October,97.69
5,Pioneer Heritage,0.9686769526313757,2762,July_Vol20_20_Notes_from_Field_Notes_from_the_Field.txt,from Field Notes from the Field,NA,Notes from Field,20,1933,July,96.87
5,Pioneer Heritage,0.9641749068477392,168,February_Vol10_09a_Notes_from_Field_Notes_From_the_Field.txt,from Field Notes From the Field,Amy Brown Lyman,Notes from Field,10,1923,February,96.42
5,Pioneer Heritage,0.9626845020109935,875,June_Vol13_07b_Article_President_Clarissa_S_Williams.txt,President Clarissa S Williams,NA,Article,13,1926,June,96.27
5,Pioneer Heritage,0.962072616830294,574,August_Vol12_11_Notes_from_Field_Notes_from_the_Field_Amy_Brown_Lyman.txt,from Field Notes from the Field Amy Brown Lyman,Amy Brown Lyman,Notes from Field,12,1925,August,96.21
5,Pioneer Heritage,0.9597657960607366,1282,June_Vol15_02e_Article_Choristers_and_Organists_Department.txt,Choristers and Organists Department,NA,Article,15,1928,June,95.98
5,Pioneer Heritage,0.9594445245431514,1446,August_Vol16_17_Notes_from_Field_Notes_from_the_Field.txt,from Field Notes from the Field,NA,Notes from Field,16,1929,August,95.94
5,Pioneer Heritage,0.9583688270360767,144,August_Vol10_09b_Guide_Lessons_Work_and_Business.txt,Work and Business,NA,Guide,10,1923,August,95.84
5,Pioneer Heritage,0.9551465319089536,319,September_Vol10_06c_Notes_from_Field_Notes_from_the_Field.txt,from Field Notes from the Field,NA,Notes from Field,10,1923,September,95.51
5,Pioneer Heritage,0.951934650468091,2049,March_Vol18_13a_Notes_from_Field_Notes_from_the_Field.txt,from Field Notes from the Field,NA,Notes from Field,18,1931,March,95.19
5,Pioneer Heritage,0.9507885663264096,757,September_Vol12_18a_Notes_from_Field_Notes_From_the_Field.txt,from Field Notes From the Field,Amy Brown Lyman,Notes from Field,12,1925,September,95.08
5,Pioneer Heritage,0.9402169802954802,542,September_Vol11_09_Notes_from_Field_Notes_from_the_Field_Amy_Brown_Lyman.txt,from Field Notes from the Field Amy Brown Lyman,Amy Brown Lyman,Notes from Field,11,1924,September,94.02
5,Pioneer Heritage,0.939347702982808,915,May_Vol13_18a_Notes_from_Field_Notes_from_the_Field.txt,from Field Notes from the Field,Amy Brown Lyman,Notes from Field,13,1926,May,93.93
5,Pioneer Heritage,0.9393233224523659,1549,March_Vol16_09_Notes_from_Field_Notes_from_the_Field.txt,from Field Notes from the Field,NA,Notes from Field,16,1929,March,93.93
5,Pioneer Heritage,0.9376615395465149,193,January_Vol10_14_Notes_from_Field_Notes_from_the_Field_Amy_Brown_Lyman.txt,from Field Notes from the Field Amy Brown Lyman,Amy Brown Lyman,Notes from Field,10,1923,January,93.77
5,Pioneer Heritage,0.9313904525154805,2290,July_Vol19_21a_Notes_from_Field_Notes_from_the_Field.txt,from Field Notes from the Field,NA,Notes from Field,19,1932,July,93.14
5,Pioneer Heritage,0.9313550395192461,1129,November_Vol14_14a_Notes_from_Field_Notes_from_the_Field.txt,from Field Notes from the Field,NA,Notes from Field,14,1927,November,93.14
5,Pioneer Heritage,0.9309217885643961,1357,November_Vol15_14a_Notes_from_Field_Notes_from_the_Field.txt,from Field Notes from the Field,Amy Brown Lyman,Notes from Field,15,1928,November,93.09
5,Pioneer Heritage,0.9294064173270832,2186,August_Vol19_13b_Notes_from_Field_Notes_from_the_Field.txt,from Field Notes from the Field,NA,Notes from Field,19,1932,August,92.94
5,Pioneer Heritage,0.9273167117215189,1063,July_Vol14_15_Notes_from_Field_Notes_from_the_Field_Amy_Brown_Lyman.txt,from Field Notes from the Field Amy Brown Lyman,NA,Notes from Field,14,1927,July,92.73
5,Pioneer Heritage,0.9245660298316044,3217,November_Vol21_26_Article_Meeting_Thursday_Morning_President_Louise_Y_R.txt,Meeting Thursday Morning,NA,Article,21,1934,November,92.46
6,Community Celebrations,0.9798553577492018,1012,February_Vol14_01_Frontispiece_An_Arctic_Scene_Frontispiece.txt,An Arctic Scene Frontispiece,NA,Frontispiece,14,1927,February,97.99
6,Community Celebrations,0.9475175363700579,1452,August_Vol16_No8_03_Article_Great_Salt_Lake_and_Its_Islands_Elizabeth_C._Porter-Rissanen.txt,Great Salt Lake and Its Islands Elizabeth C. Porter-Rissanen,Elizabeth C. Porter-Rissanen,Article,16,1929,August,94.75
6,Community Celebrations,0.929676620833345,4238,January_Vol7_04_Article_Beyond_Sareth_Nephi_Anderson.txt,Beyond Sareth Nephi Anderson,NA,Article,7,1920,January,92.97
6,Community Celebrations,0.9184630885721156,1662,August_Vol17_03_Article_Nature_in_the_RawSnake_River.txt,Nature in the RawSnake River,NA,Article,17,1930,August,91.85
6,Community Celebrations,0.9179525059217555,2038,March_Vol18_01_Natures_Nest_Spencer.txt,Nest Spencer,NA,Article,18,1931,March,91.8
6,Community Celebrations,0.903649273213317,2393,October_Vol19_04_Article_Indoor_Garden_Mand_Gheawidden_oat_Martha_Hughes_Cannon_John_Henry_Evans.txt,Indoor Garden Mand Gheawidden oat Martha Hughes Cannon John Henry Evans,John Henry Evans,Article,19,1932,October,90.36
6,Community Celebrations,0.8898135478220973,1888,April_Vol18_09b_Article_Exit_Back_Yard_Enter_Out-door_Living_Room.txt,"Exit Back Yard, Enter Out-door Living Room",Maud Chegwidden,Article,18,1931,April,88.98
6,Community Celebrations,0.8829160872524996,4167,September_Vol6_10_The_Garden_in_September.txt,Garden in September,NA,Article,6,1919,September,88.29
6,Community Celebrations,0.8778387161668267,1433,August_Vol16_01_Frontispiece_Shoshone_Falls_Idaho_Frontispiece.txt,Shoshone Falls Idaho Frontispiece,NA,Frontispiece,16,1929,August,87.78
6,Community Celebrations,0.8621695031626156,4080,March_Vol6_08_Let's_Make_a_Garden_Morag.txt,Make a Garden Morag,NA,Article,6,1919,March,86.22
6,Community Celebrations,0.8558595114185401,4099,May_Vol6_10_The_Garden_in_May_Morag.txt,Garden in May Morag,NA,Article,6,1919,May,85.59
6,Community Celebrations,0.8472312850907473,137,August_Vol10_02_Article_Utah_Mountains.txt,Utah Mountains,NA,Article,10,1923,August,84.72
6,Community Celebrations,0.8450943768678153,1453,August_Vol16_No8_10_Article_What_Bird_is_That_J._H._Paul.txt,What Bird is That J. H. Paul,J. H. Paul,Article,16,1929,August,84.51
6,Community Celebrations,0.8397936709772412,2638,April_Vol20_21_Article_Plant_Perennials_for_Perpetual_Gardens_Cora_Carver_Ritchie.txt,Plant Perennials for Perpetual Gardens Cora Carver Ritchie,Cora Carver Ritchie,Article,20,1933,April,83.98
6,Community Celebrations,0.8246316812565497,4058,June_Vol6_11_June_Magic_Morag_3'40.txt,Magic Morag 3'40,NA,Article,6,1919,June,82.46
6,Community Celebrations,0.8234884215275239,3183,May_Vol21_15_Article_My_N._R._A._Moore.txt,My N. R. A. Moore,Border Hattie M. Moore,Article,21,1934,May,82.35
6,Community Celebrations,0.8050887358662738,2958,August_Vol21_07_Article_My_Trip_to_the_Mountains_Roundy.txt,My Trip to the Mountains Roundy,Elderberries Rose G. Roundy,Article,21,1934,August,80.51
6,Community Celebrations,0.8033165455666154,1887,April_Vol18_09_Exit_Backyard_Modsen.txt,Backyard Modsen,NA,Article,18,1931,April,80.33
6,Community Celebrations,0.8030959235958535,3980,December_Vol6_01b_Article_Beyond_Arsareth.txt,Beyond Arsareth,NA,Article,6,1919,December,80.31
6,Community Celebrations,0.8025402058373158,136,August_Vol10_01_Frontispiece_Timpanogos_Climbed_to_the_Top_in_Winter_Frontispiece.txt,Timpanogos Climbed to the Top in Winter Frontispiece,NA,Frontispiece,10,1923,August,80.25
6,Community Celebrations,0.8010181676534749,1553,March_Vol16_12_Misc_Ad_Mount_Timpanogos_from_American_Fork_Canyon_Frontispiece.txt,Ad Mount Timpanogos from American Fork Canyon Frontispiece,NA,Misc,16,1929,March,80.1
6,Community Celebrations,0.7940797753663706,2363,May_Vol19_04_Article_Grow_Dahlias_This_Year_Maud_Chegwidden.txt,Grow Dahlias This Year Maud Chegwidden,Maud Chegwidden,Article,19,1932,May,79.41
