"volume","month","filename","classification","article_end_chars","input_continuation"
36,"July","V36_07_17_Art_I_Am_Come_Judd.txt","UNCLEAR_NOT_FOUND","gin of that book was what
Parley P. Pratt, Oliver",""
36,"July","V36_07_20_Art_Introduction_Jacobs.txt","TRUNCATED","Study text, pp. 97-100, 209-211) With Chaucer the","literature of the Middle Ages ends, and the literature of modern England begins. For centuries before Chaucer, and 487 during his own lifetime, writin"
36,"July","V36_07_22_Art_Social_Science_The.txt","COMPLETE_NEXT_ART",":13. <= Optional Hien ee Ser of Social Science—The","First Presidencies (Primarily for use outside Continental United States and its possessions) Tue Presi wENcy A Unrr—TuHeE THREE ARE ONE Preview of Les"
36,"August","V36_08_01_Poem_August_Rigby.txt","COMPLETE_NEXT_ART","raph by Josef Muench Willard Luce BEAR RIVER, UTAH","The Tasks of Modern Citizenship Dr. G. Homer Durham Head of Political Science Department, University of Utah Render therefore unto Caesar the thin thi"
36,"August","V36_08_02_Art_The_Tasks_of_Durham.txt","UNCLEAR_NOT_FOUND","he said pleasantly, ""Yeh, I'm okay.""
There was a",""
36,"August","V36_08_04_Poem_Immortality_Robinson.txt","COMPLETE_NEXT_ART","missions have not previously been published in The","Relief Society Magazine as having completed their Building Fund quotas: Norwegian Mission Swiss-Austrian Mission Aalesund Branch, Norwegian Mission Ar"
36,"August","V36_08_05_Art_Relief_Society_Bui.txt","TRUNCATED","ear song of birds, I shall come back more wise and","more at peace Than from multitudinous words. Page 512 Music in the Home Norma Wrathall 66 HAT boy! Tooting that horn again!"" muttered Mrs. Finley, as"
36,"August","V36_08_07_Fict_Music_in_the_Wrathall.txt","TRUNCATED","'t that practicing bother you, Pa?"" Mr. Finley had","momentarily emerged from his newspaper, and was placing his shoes on the oven door. ""What—oh, you mean that Peterson kid? No, never even notice it. Ou"
36,"August","V36_08_08_Poem_Moment_Eberling.txt","TRUNCATED","she could hear ""Qne-and-two-and-three-and"" in her","dreams. It had been worth sitting at the piano playing accompaniments for Ida's violin pieces over and over for her, at the same time keeping an eye o"
36,"August","V36_08_10_Art_Rugmaking_in_the_Young.txt","COMPLETE_NEXT_ART","all is gone— It seems to fit the face it's on. The","Jumpher Family Part II—Randy Deone R. Sutherland HAT my sister Randy was going to be a glamour girl, or thought she was, as Richard put it, was very t"
36,"August","V36_08_12_Art_What_The_Relief_Bailey.txt","COMPLETE_NEXT_ART","n Intelligent, Wellvere; » Nad just Teturned spe h","Sixty Years Ago Excerpts from the Woman's Exponent, August 1, and August 15, 1889 ""FoR THE RIGHTS OF THE WOMEN OF ZION AND THE RIGHTS OF THE WoMeEN OF"
36,"August","V36_08_14_Art_Notes_to_the.txt","COMPLETE_NEXT_ART","1, Utah, 60 cents each, postpaid. Appreciation for","Duplicate Lists of Contributors to Relief Society Building Fund HE general board wishes to express appreciation to the stakes, wards, missions, and br"
36,"August","V36_08_21_Art_Visiting_Teacher_M_Judd.txt","COMPLETE_NEXT_ART","A Course for Optional Use by Wards and Branches at","Work Meeting) Lesson 2—Layettes and Baby Sewing Jean Ridges Jennings For Tuesday, November 8, 1949 HE modern mother, when planning the layette for her"
36,"August","V36_08_22_Art_Work_MeetingSewing_Jennings.txt","UNCLEAR_NOT_FOUND","for other things I've known! 

558  A stench We",""
36,"August","V36_08_23_Art_Literature_Legends_Jacobs.txt","NEEDS_PDF_QC","ory—Elgar -. 15 The Little Old Garden—Hewitt — le","Lullaby and Good Night—Brahms E One Fleeting Hour—Lee eS E A Song Remembered—Coates —— -20 The Sweetest Story Ever Told— Stults 10 12 music for ql] t"
36,"September","V36_09_01_Poem_Poplar_MagicFronti_Harwood.txt","TRUNCATED","Harwood One tall golden taper of a poplar tree in","autumn! With sudden magic, the long years vanish And I am once more in my own loved homeland, In the valley of the high, snow-covered mountains, Clea"
36,"September","V36_09_02_Poem_Autumn_Shomaker.txt","TRUNCATED","ing here together In the gracious tender season of","the heart's remembering! Rich treasures to behold through the magic portal Of one tall golden taper of a poplar tree in autumn! The Cover: The Mormon"
36,"September","V36_09_04_Art_The_Mormon_Handicr_Smith.txt","COMPLETE_NEXT_ART","feel, with me, a deeper appreciation for this fine","Relief Society Building News The names of the following stake, ward, and mission districts and branches have not previously been published in The Reli"
36,"September","V36_09_06_Fict_TemperedPart_I_Hamilton.txt","TRUNCATED","her kiss was to be a final one as Lee's wife. Her","marriage had failed and she was running out! Senior Blendall, known to his associates as ""Old Granite,"" cast his fierce gray eyes skyward and temarked"
36,"September","V36_09_12_Art_Wastebaskets_Where_Laurgaar.txt","TRUNCATED","And sorrow is in me—my feet are bound, My heart's","song buried, away from my mountains. Oh, let me again hear the plaintive sound Of a night bird singing a twilight song To his lone mate nesting near t"
36,"September","V36_09_15_Fict_JoannaChapter_9_Stewart.txt","TRUNCATED","iness Penn tohim, « me look q you. § SELECTED DATA","annual report—1948 | bl annual report mirrors the accomplishments of Relief Society in advancing its program of education and welfare in the stakes an"
36,"September","V36_09_17_Art_Visiting_Teacher_M_Judd.txt","UNCLEAR","H SEWED SEWED FOR VISITS TO = weLrare PROJECTS. AT","WORK THEMSELVES FAMILIES EXCLUSIVE OF WORK MEETINGS AND FAMILY MEETING SEWING Cie et er oe oe oe er ee et ee et ee ee ee he i eee eee ee eo © 0 0:0 0 "
36,"September","V36_09_19_Art_Notes_to_the.txt","TRUNCATED","t righteous and unrighteous dwell apart during the","interval between death and resurrection is clear. The parable teaches the continuation of individual existence after death, and the relation of cause "
36,"September","V36_09_20_Poem_Interval_Fjeldste.txt","NEEDS_PDF_QC","and give excellent service. ~~ ol, stov@ieume— Wee","Literature of England Elder Briant S. Jacobs Lesson 3—The Poet Shakespeare For Tuesday, December 20, 1949 VEN while our world continues to worship sen"
36,"October","V36_10_01_Poem_Time_for_SortingFr_Wangsgaa.txt","COMPLETE_NEXT_ART","lard Luce. Josef Muench NAVAJO LAKE, SOUTHERN UTAH","Making Our Homes More Livable Christine H. Robinson Member, Relief Society General Board HEE is my heart, my happiness, my home. Here, inside the ligh"
36,"October","V36_10_02_Art_Making_Our_Homes_Robinson.txt","COMPLETE_NEXT_ART","and beauty mingled, To satisfy each need. You Can","Learn PART I A Ys for Aduli—B Ys for Bride Katherine Kelly [This is the first in a series of stories by a new author.] HE shade of the porch felt cool"
36,"October","V36_10_03_Fict_You_Can_LearnPart_Kelly.txt","NEEDS_PDF_QC","en is, an i + like the farm, he V Marthy, he wante","Adoption of Children Mary L. Dillman Former Director, Relief Society Social Service and Child Welfare Department N the United States, throughout the w"
36,"October","V36_10_04_Art_Adoption_of_Childr_Dillman.txt","TRUNCATED","and this period, before final adoption, affords an","opportunity for the child to be studied and for the adoptive parents to have reasonable assurance of his normal development. The laws of a number of s"
36,"October","V36_10_08_Art_Editorial_The_Best_Sharp.txt","TRUNCATED",", mission, and branch officers, class leaders, and","visiting teachers. The Interest and Beauty of Fruit Mary Grant Judd Member, Relief Society General Board [This is the sixth in a series of short artic"
36,"October","V36_10_14_Art_Notes_to_the.txt","COMPLETE_NEXT_ART","A Course for Optional Use by Wards and Branches at","Work Meeting) Lesson 4—Underwear and Nightwear Jean Ridges Jennings For Tuesday, January 10, 195° ONE of the important advantages of home sewing is ec"
36,"October","V36_10_17_Art_Social_Science_Gov_Durham.txt","UNCLEAR_NOT_FOUND","am, The Relief Society Mag; azine, May 1949, -) oo",""
36,"November","V36_11_02_Art_Womans_Role_as_Spafford.txt","NEEDS_PDF_QC","© songs we dj | he € did not sing, nd joys such m","Today is all of time or yesterday jis Past, €W upon the Morning rose ose beauty Cannot Jast. Tomorrow IS with sh We own > adows dj The Loving Friend o"
36,"November","V36_11_03_Poem_Today_Is_All_Cook.txt","COMPLETE_NEXT_ART","Cannot Jast. Tomorrow IS with sh We own > adows dj","The Loving Friend of Children Preston Nibley N the fall of 1801, George QO. Cannon, first counselor to President Wilford Woodruff in the First Preside"
36,"November","V36_11_17_Art_The_Interest_and_Judd.txt","NEEDS_PDF_QC","rth's youngest and most obstreperous child. I atin","Beauty in (Brown Josephine ]. Harvey There is warmth and loveliness that lies, Within the depths of dark brown eyes. My hands have touched velvet of s"
36,"November","V36_11_20_Art_Notes_From_the.txt","UNCLEAR","tted by Marie T. Moody DESERET STAKE (UTAH) HONORS","VISITING TEACHERS WHO HAVE SERVED THIRTY YEARS OR MORE Marie T. Moody, President, Deseret Stake Relief Society, reports the long and devoted service o"
36,"November","V36_11_21_Art_Visiting_Teacher_M_Judd.txt","COMPLETE_NEXT_ART","A Course for Optional Use by Wards and Branches at","Work Meeting) Lesson 5—Girls' Clothing Jean Ridges Jennings For Tuesday, February 14, 1950 T'S fun to make clothes for girls. There are so many lovel"
36,"November","V36_11_22_Art_Work_Meeting_Girls_Jennings.txt","UNCLEAR_NOT_FOUND","led theme—serenely Spaced. 
776 
Literature— 'he",""
36,"December","V36_12_14_Art_March_Anniversary_Eaton.txt","COMPLETE_NEXT_ART","together or to the meat grinder or bunch. ——- The","Year Is Done Eunice J. Miles The fleeting breath of the waning year Is vanished with the old and the sere, But out of the ashes of chill December Hope"
36,"December","V36_12_17_Poem_Auditor_by_Grace.txt","TRUNCATED","ITlustration by Elizabeth Williamson Wey not start","an ever-burning Christmas candle this year? It js such fun to watch it stow, as though it were really a living thing holding high a lighted torch of g"
36,"December","V36_12_18_Art_An_Ever-Burning_Ch_Laurgaar.txt","COMPLETE_NEXT_ART","Tleeting—Sewi ng Children's Clothing (A Course for","Optional Use by Wards and Branches at Work Meeting) Lesson 6—Boys' Clothing Jean Ridges Jennings For Tuesday, March 14, 1950 GOME items that would nor"
36,"December","V36_12_19_Art_Optional_Lesson_Th_Lyon.txt","COMPLETE_NEXT_ART","Edgar Lyon]  Optional Use by Wards and Branches at","Work Meeting) Lesson 6—Boys' Clothing Jean Ridges Jennings For Tuesday, March 14, 1950 GOME items that would normally come under the heading of ""Boys'"
36,"December","V36_12_20_Art_Work_Meeting_Boys_Jennings.txt","NEEDS_PDF_QC","uch of their time in the mending basket. Oii. | aa","Literature of England Lesson 6—John Bunyan Elder Briant S. Jacobs For Tuesday March 21, 1950 RECENTLY a group of more than fifty mature young people w"
37,"January","V37_01_02_Poem_The_Singing_Snow.txt","COMPLETE_NEXT_ART","NG BY THE SAINTS OF THE SWISS-AUSTRIAN MISSION New","Year Greetings to Reliof Society Women &verywhere ONCE again the general board of Relief Society desires to. Say to the members of our beloved organiz"
37,"January","V37_01_05_Poem_To_Mother_Grace.txt","NEEDS_PDF_QC","clings, undimmed, some cld expectancy! For the lew","Year, Twelve Oclock Katherine Fernelius Larsen In the most solemn moment Of ending and beginning, Let my thoughts be stark As January sky— Unrememberi"
37,"January","V37_01_12_Art_Womans_Sphere_Ramo.txt","NEEDS_PDF_QC","campaign to meet the needs of those affected. The","March of Dimes campaign, enthusiastically supported by magazines as well as by the press and radio in the past, has always raised enough to take care "
37,"January","V37_01_13_Art_Temporary_Binders.txt","TRUNCATED","rsal of the Singing Mothers Chorus which furnished","music for the Annual General Relief Society Conference, September 28 and 29, 1949. Su estive List O Son s for Sin in Nlothers gg g ging (Three-part un"
37,"January","V37_01_15_Art_Suggestive_List_of.txt","NEEDS_PDF_QC","e given to me. I love you. MOTHER Clara Horne Park","Suggestions for a Work Meeting ouncheon Christine Eaton SANDWICH SPREAD (Makes about 50 sandwiches) 2 cans corned beef or any pressed _ 3 tbsp. Prepa"
37,"January","V37_01_18_Art_Notes_to_the.txt","NEEDS_PDF_QC","extra coat for spring and fall. Elvyoraie vos The","Literature of England Elder Briant S. Jacobs Lesson 7—Some Seventeenth Century Poets For Tuesday, April 18, 1950 UR text includes selections from the "
37,"January","V37_01_19_Art_Literature_Some_Se.txt","COMPLETE_NEXT_ART","? 3. What is the metaphysical school of poetry? I","Social Science—Latter-day Saint Political Thought Lesson 6—The Conditions for Achieving the Kingdom of God Elder G. Homer Durham For Tuesday, April 25"
37,"February","V37_02_01_Poem_Lien_on_the.txt","NEEDS_PDF_QC","3 $ J Z > am vie] > =] A? CALIFORNIA Josef Muench","Preservation of Our Blessings of Freedom Elder Ezra Taft Benson Of the Council of the Twelve (Address delivered at the afternoon session of the Annual"
37,"February","V37_02_03_Fict_The_House_That.txt","COMPLETE_NEXT_ART","branches have not previously been published in The","Relief Society Magazine as having com-_ pleted their Building Fund quotas. ® BRITISH MISSION Accrington Branch, Liverpool District Airdrie Branch, Sco"
37,"February","V37_02_07_Fict_I_Know_Where.txt","NEEDS_PDF_QC","d you home to tell you that now I understand. ~~ A","Letter From Mother MY DEAR CHILDREN: I know I do not convey to you by letter the depth of my love for you. It is very real, It fills me with great joy"
37,"February","V37_02_18_Art_Notes_From_the.txt","NEEDS_PDF_QC","a display of children's clothing in May. shade le","Literature of England Lesson 8—John Milton: The Lesser Works Elder Briant S. Jacobs For Tuesday, May 16, 1950 N 1608, eight years before Shakespeare's"
37,"February","V37_02_20_Poem_Living_Design_Eva.txt","NEEDS_PDF_QC","a display of children's clothing in May. shade le","Literature of England Lesson 8—John Milton: The Lesser Works Elder Briant S. Jacobs For Tuesday, May 16, 1950 N 1608, eight years before Shakespeare's"
37,"February","V37_02_24_Poem_Winter_Night_Beth.txt","COMPLETE_NEXT_ART","Wind singing in the maples. LESSON DEPARTMENT She","Cynic Said Christie Lund Coles Love, they said, is fleet and fickle, Here today and gone tomorrow. Yet our love has been as constant In our joy as in "
37,"February","V37_02_25_Poem_The_Cynic_Said.txt","COMPLETE_NEXT_ART","our manna Cooling drink and golden bread. —>— She","Tranquil Path Ruth Harwood Some say that we must suffer To know life's real delights, Must plumb the depths of sorrow To reach the greatest heights, M"
37,"March","V37_03_01_Poem_Remember_Spring_Fr.txt","COMPLETE_NEXT_ART","e Point, California, Photograph by Don Knight. The","Relief Society and the Keys of the Kingdom - Elder Bruce R. McConkie Of the First Council of the Seventy HILE attending one of the first Relief Societ"
37,"March","V37_03_18_Art_Notes_to_the.txt","UNCLEAR_NOT_FOUND",", we're getting along nicely on your G.I. pay this",""
37,"March","V37_03_22_Art_Oriental_China_Anc.txt","UNCLEAR_NOT_FOUND","the gulls feed undisturbed at his back. ] You Can",""
37,"March","V37_03_26_Fict_Alice_Morrey_Baile.txt","TRUNCATED","nd patterns. Relief Society women are urged to buy","gifts from the Mormon Handicraft Shop. Articles for your own home and beautiful gifts for all occasions may be obtained there. Page 194 A Place For T"
37,"March","V37_03_27_Art_Gifts_From_the.txt","COMPLETE_NEXT_ART","to the phone, he dialed the Dean's number. Pe She","Valley Srain Evelyn Fjeldsted The valley train comes nosing down The slight incline along the lake; With boisterous mien it enters town, An echoed whi"
37,"March","V37_03_28_Poem_The_Valley_Train.txt","UNCLEAR","made by those who had labored on the building THE","PLACE OF MUSIC IN THE LIVES OF THE WOMEN OF THE CHURCH and wet the walls with their tears, while praying to God to stay the hands of the ruthless spoi"
37,"March","V37_03_29_Art_The_Place_of.txt","COMPLETE_NEXT_ART","s a distinct part to play in his divine harmony. I","On Borrowed Wings Ora Lee Parthesius The river's green-gold curved far below Grandpa's white house in a satin bow, And, looking down, I could not deci"
37,"March","V37_03_30_Poem_On_Borrowed_Wings.txt","UNCLEAR_NOT_FOUND","ove to you all, Mother Clara Horne Park ] For Shat",""
37,"March","V37_03_31_Art_For_That_Rainy.txt","COMPLETE_NEXT_ART","on oft repeated, ""'Mother, what can we do?"" o> She","Desert Js a Lady LaVerne J. Stallings Upon her sands at midday, Resenting beauty's plea, The desert lies in a heavy trance Dreaming silently. But whea"
37,"March","V37_03_34_Poem_New_Face_Leone.txt","COMPLETE_NEXT_ART","f awful, tearing sobs. (To be continued) >i This J","Know Arvilla Bennett Ashby I don't know much about this world One way or another; For instance, how the stars are made, Or how the storm clouds gather"
37,"April","V37_04_06_Fict_The_Thickness_of_Cox.txt","UNCLEAR","er. I n 1910 the price went to an all-time high of","$3.06 a pound. At this time the plantations of Ceylon, Malay, and Sumatra were just coming into good production. 'This high price not only pulled the "
37,"April","V37_04_17_Art_Unwrapping_the_Can.txt","UNCLEAR_NOT_FOUND","Cancer Crusade of the American Cancer Society.  A",""
37,"April","V37_04_23_Fict_Dark_in_the_Bailey.txt","UNCLEAR_NOT_FOUND","and harvest by and by? 
276 
Courtesy Fae D. Dix",""
37,"April","V37_04_24_Art_Hannah_Davis_Foste_Dix.txt","TRUNCATED","and legs. She has been unable to walk for the past","three and one half years. But, last September, she quite suddenly decided to try sewing kitchen aprons as a way of helping to forget her pain. Her cap"
37,"April","V37_04_27_Fict_Bazaars_Socials_Si_Pickerin.txt","NEEDS_PDF_QC","rthwestern States Mission Relief Society. +e + She","Birth of Harvest Margaret B. Shomaker The barren orchard blooms from winter snow And flawless pink-white petals grace the bough In carved perfection l"
37,"April","V37_04_29_Fict_Our_April_Short.txt","COMPLETE_NEXT_ART","nd published story. PRESERVE YOUR = RELIEF SOCIETY","Beyond Discovering MAGAZINES Dorothy J. Roberts Have the valuable informaThis thought must rest forever, tion contained therein readA white bird with "
37,"May","V37_05_02_Poem_Mother_Dunford.txt","UNCLEAR","ograph by Josef Muench. RHODODENDRONS Josef Muench","A Mother's Influence Bishop Joseph L. Wirthlin Of the Presiding Bishopric (Address delivered at the officers meeting in the Assembly Hall on September"
37,"May","V37_05_13_Poem_Daily_Bread_Walton.txt","TRUNCATED","a prayer. Gn These Hulls Evelyn Wooster Viner Here","in these hills My roots grow deep. I look across the richness Of the fruited plain But feel no covetousness For others' worldly gain. Here in these h"
37,"May","V37_05_15_Art_Sixty_Years_Ago.txt","UNCLEAR_NOT_FOUND","ods stored consist supply ahead, sometimes more. T",""
37,"May","V37_05_16_Art_Womans_Sphere_Cannon.txt","UNCLEAR_NOT_FOUND","Rexburg Stake (Idaho) Daphne Nef
San Joaquin (C",""
37,"May","V37_05_17_Art_Editorial_Memorial_Spafford.txt","NEEDS_PDF_QC","the reasons for their existence. —B. S. S. She One","Hundredth Anniversary of the Founding —_ of the University of Utah (1850-1950) NE hundred years have passed since the General Assembly of the State of"
37,"May","V37_05_18_Art_The_One_Hundredth_Crawford.txt","UNCLEAR","Christ of Latter-day Saints was honRELIEF SOCIETY","MAGAZINE—MAY 1950 ored by the conferring upon him of the honorary degree of Doctor of Humanities. In presenting the degree to President Smith, Dean Me"
37,"May","V37_05_20_Poem_The_Landmark_Fjeldste.txt","COMPLETE_NEXT_ART","Landmarks were mentioned quietly. > nee aalliest","Without Price C. Cameron Johns Only as a pine tree owns the hill Or white silk clouds lay claim upon; the sky, Can the heart possess beauty. To hold i"
37,"June","V37_06_03_Poem_Eliza_R._Snow.txt","COMPLETE_NEXT_ART","Poem Contest]  Eliza R. Snow Poem Contest and the","Relief Society Short Story Contest are conducted annually by the general board of Relief Society to stimulate creative writing among Latter-day Saint "
